latitude,longitude
52.001417000000004,4.22559
52.001417000000004,4.22559
52.001417000000004,4.22559
52.001417000000004,4.22559
52.001416,4.225598
52.001414999999994,4.225599
52.001414000000004,4.225601
52.001412,4.2256029999999996
52.001412,4.225602
52.001412,4.225602
52.001412,4.225602
52.001412,4.225602
52.001414999999994,4.2256
52.001414999999994,4.2256
52.001414999999994,4.225602
52.001414999999994,4.225602
52.001414999999994,4.225602
52.001414999999994,4.225602
52.001414999999994,4.225602
52.001414999999994,4.225602
52.001419999999996,4.225675
52.001422000000005,4.225676
52.001422000000005,4.225674000000001
52.001423,4.225673
52.001421,4.225671
52.001421,4.22567
52.001419,4.225668
52.001419,4.225668
52.001418,4.22567
52.001418,4.2256670000000005
52.001421,4.2256670000000005
52.001423,4.225663
52.001423,4.225663
52.001424,4.225661
52.001424,4.225663
52.001423,4.2256599999999995
52.001423,4.2256599999999995
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001422000000005,4.225656
52.001419,4.225647
52.001419,4.225647
52.001419,4.225647
52.001841999999996,4.225498
52.001841999999996,4.2255020000000005
52.00184,4.225499
52.001838,4.225497
52.001834,4.2255009999999995
52.001836000000004,4.225507
52.001838,4.225508
52.001838,4.225511
52.001838,4.225511
52.001836999999995,4.225517
52.001836000000004,4.225519
52.001835,4.225516
52.001834,4.225516
52.00183200000001,4.225519
52.001834,4.225515
52.001836999999995,4.22551
52.001841999999996,4.225504
52.001843,4.2255009999999995
52.001844,4.225496
52.001844,4.225496
52.001844,4.2254950000000004
52.001847,4.2254950000000004
52.001848,4.225496
52.001847,4.225494
52.001845,4.225492
52.001841999999996,4.225491
52.001841000000006,4.225489
52.00184,4.225487
52.001843,4.22549
52.001843,4.22549
52.001892,4.225602
52.001889,4.2256
52.001892,4.225602
52.00189099999999,4.225601
52.00189,4.225601
52.001894,4.225602
52.001895000000005,4.225598
52.001895000000005,4.2256
52.001895999999995,4.225599
52.0019,4.2256
52.001901,4.2255970000000005
52.0019,4.225593
52.0019,4.225593
52.0019,4.225593
52.0019,4.225593
52.001899,4.225585
52.0019,4.2255840000000005
52.001899,4.225581
52.001901,4.225586
52.001902,4.2255840000000005
52.001902,4.2255840000000005
52.001902,4.2255840000000005
52.001384,4.225109
52.001384,4.225109
52.00138200000001,4.225109
52.00138,4.2251080000000005
52.001379,4.225115
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001379,4.225114
52.001381,4.225096
52.001381,4.225096
52.001381,4.225096
52.001381,4.225096
52.001383,4.225104
52.001383,4.225104
52.001423,4.22553
52.001423,4.22553
52.001423,4.22553
52.001423,4.22553
52.001423,4.22553
52.001423,4.225529
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.001422000000005,4.22553
52.00129200000001,4.224733
52.001291,4.224733
52.00129,4.224736
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001288,4.224737
52.001582,4.224825
52.001580000000004,4.224823
52.001580000000004,4.224824
52.001580000000004,4.224824
52.001580000000004,4.224824
52.001579,4.224827
52.001580000000004,4.224827
52.001580000000004,4.22483
52.001579,4.224833
52.001579,4.224833
52.001579,4.224833
52.001579,4.224833
52.001579,4.224833
52.001577,4.224842
52.001577,4.224842
52.001577,4.224842
52.001580999999995,4.224843
52.001580999999995,4.224843
52.001580999999995,4.224843
52.001580999999995,4.224843
