接入点,MAC地址,供应商,信号强度,历史信号强度,数据加密,国家识别码 ,模式,频率,波段,首次检测到,上次检测到,比特率,型号,适配器,Note,Suggested Channel,状态,Width,Quality,Specification,Station Count,Name,Streams
eduroam,1C:28:AF:65:C3:C0,"Aruba, a Hewlett Packard Enterprise Company",-81 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.603113426,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 32% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,42,802.11ax,1,,4x4,
eduroam,D0:4D:C6:F2:BC:40,"Aruba, a Hewlett Packard Enterprise Company",-81 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.603472222,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","3 Stations, 22% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,42,802.11ax,3,,4x4,
eduroam,1C:28:AF:65:FF:F0,"Aruba, a Hewlett Packard Enterprise Company",-81 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,5.0 GHz,0.609791667,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","14 Stations, 2% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,42,802.11ax,14,,4x4,
eduroam,1C:28:AF:65:F5:F0,"Aruba, a Hewlett Packard Enterprise Company",-82 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 112 [5.560 GHz] + Ch 108,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","20 Stations, 5% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,39,802.11ax,20,,4x4,
eduroam,1C:28:AF:66:10:30,"Aruba, a Hewlett Packard Enterprise Company",-82 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","19 Stations, 8% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,39,802.11ax,19,,4x4,
eduroam,D0:4D:C6:F2:4D:30,"Aruba, a Hewlett Packard Enterprise Company",-82 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","15 Stations, 9% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,39,802.11ax,15,,4x4,
eduroam,D0:4D:C6:F3:07:E0,"Aruba, a Hewlett Packard Enterprise Company",-82 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.603113426,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 12% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,39,802.11ax,0,,4x4,
eduroam,D0:4D:C6:F2:4D:00,"Aruba, a Hewlett Packard Enterprise Company",-82 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.612037037,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 28% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,39,802.11ax,1,,4x4,
eduroam,1C:28:AF:66:10:20,"Aruba, a Hewlett Packard Enterprise Company",-83 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.610798611,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 32% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,36,802.11ax,0,,4x4,
eduroam,1C:28:AF:65:C3:D0,"Aruba, a Hewlett Packard Enterprise Company",-84 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","17 Stations, 18% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,33,802.11ax,17,,4x4,
eduroam,D0:4D:C6:F2:BD:C0,"Aruba, a Hewlett Packard Enterprise Company",-84 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.603113426,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 35% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,33,802.11ax,0,,4x4,
