Access Point,MAC Address,Vendor,Signal Strength,Encryption,Country Id,Mode,Frequency,Width,Band,Bitrates,Info,Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECT-QPDESKTOP-2LM1S1BmsHX,16:f6:d8:d4:aa:b2,,-89 dBm,WPA2 PSK [CCMP],,Infrastructure & WPS,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,866.5,,,45,36,30,24,18,15,12,9, 6 Mbps;Microsoft, HP ZBook Studio x360 G5, 10.0.22621, DESKTOP-2LM1S1B;en0,,,,,,,,,,,,,,,,,
eduroam,1c:28:af:65:fe:10,,-71 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 140 [5.700 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;2 Stations, 3 Stations, 4 Stations, 5 Stations, 6 Stations;en0,,,,,,
eduroam,1c:28:af:66:50:10,,-70 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;7 Stations, 8 Stations, 5 Stations, 3 Stations, 2 Stations, 4 Stations, 11 Stations;en0,,,,
eduroam,1c:28:af:62:11:f0,,-75 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;5 Stations, 4 Stations, 6 Stations, 7 Stations, 8 Stations, 10 Stations;en0,,,,,,,,,
eduroam,1c:28:af:66:11:c0,,-65 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;2 Stations, 4 Stations, 3 Stations, 1 Stations, 5 Stations;en0,,,,,,,,,,
eduroam,1c:28:af:65:e9:50,,-69 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 161 [5.805 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations, 1 Stations, 2 Stations, 3 Stations, 4 Stations, 5 Stations;en0,,,,,
eduroam,d0:4d:c6:f2:ff:d0,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;18 Stations, 19 Stations, 21 Stations, 17 Stations, 16 Stations;en0,,,,,,,,,,
eduroam,d0:4d:c6:f2:c5:d0,,-77 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations, 2 Stations, 1 Stations;en0,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:b2:b0,,-74 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;15 Stations, 16 Stations, 17 Stations, 18 Stations, 19 Stations, 23 Stations, 22 Stations, 21 Stations, 20 Stations;en0,,,,,,
eduroam,d0:4d:c6:f2:f2:10,,-88 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;34 Stations, 33 Stations, 32 Stations, 31 Stations;en0,,,,,,,,,,,
eduroam,d0:4d:c6:f2:9a:70,,-89 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;7 Stations;en0,,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:ce:b0,,-80 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;9 Stations, 10 Stations;en0,,,,,,,,,,,,,
eduroam,1c:28:af:65:d3:70,,-80 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;10 Stations, 9 Stations, 11 Stations;en0,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:a8:50,,-84 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;26 Stations, 27 Stations, 25 Stations, 24 Stations;en0,,,,,,,,,,,
eduroam,1c:28:af:5b:8e:f0,,-88 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;14 Stations, 15 Stations, 16 Stations;en0,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:61:30,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations, 4 Stations;en0,,,,,,,,,,,,,
