Access Point,MAC Address,Vendor,Signal Strength,Encryption,Country Id,Mode,Frequency,Width,Band,Bitrates,Info,Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECT-QPDESKTOP-2LM1S1BmsHX,16:f6:d8:d4:aa:b2,,-89 dBm,WPA2 PSK [CCMP],,Infrastructure & WPS,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,866.5,,,45,36,30,24,18,15,12,9, 6 Mbps;Microsoft, HP ZBook Studio x360 G5, 10.0.22621, DESKTOP-2LM1S1B;en0,,,,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:f2:92,,-89 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:8e:f2,,-88 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:ce:b2,,-81 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5c:09:72,,-79 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:61:32,,-92 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:ec:92,,-81 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:fc:12,,-91 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f3:14:d2,,-84 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:65:d3:72,,-80 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:a8:52,,-83 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:9a:72,,-89 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:a9:92,,-89 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:ee:d2,,-88 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:60:b2,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f3:14:c2,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:ff:d2,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5c:01:12,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5c:01:12,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:f4:b2,,-88 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:f4:b2,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:db:f2,,-89 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:db:f2,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:e5:42,,-77 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:e5:42,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:db:e2,,-75 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:db:e2,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5c:43:f2,,-91 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 112 [5.560 GHz] + Ch 108,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:4f:c2,,-76 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:66:28:11,,-62 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 153 [5.765 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
tudelft-dastud,1c:28:af:66:2a:a1,,-56 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:66:4c:c1,,-66 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:65:fe:01,,-59 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:66:50:01,,-65 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:66:28:01,,-64 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:66:75:61,,-67 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:65:f5:d1,,-81 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:71:11,,-80 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations, 2 Stations;en0,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:65:e9:41,,-63 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:66:50:11,,-70 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations, 1 Stations;en0,,,,,,,,,
tudelft-dastud,1c:28:af:65:f5:c1,,-72 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:66:11:c1,,-65 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:65:fe:11,,-71 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 140 [5.700 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
tudelft-dastud,1c:28:af:66:75:71,,-77 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 116 [5.580 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
tudelft-dastud,1c:28:af:66:2a:b1,,-66 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
tudelft-dastud,1c:28:af:66:4c:d1,,-75 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 165 [5.825 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
tudelft-dastud,1c:28:af:66:11:d1,,-72 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 157 [5.785 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
tudelft-dastud,1c:28:af:65:e9:51,,-69 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 161 [5.805 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:4f:d1,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:62:11:f1,,-76 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:c5:d1,,-77 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:f2:11,,-87 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations, 0 Stations;en0,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:b2:b1,,-74 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations, 2 Stations;en0,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f3:09:d1,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:f2:91,,-88 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:a2:b1,,-85 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f3:14:d1,,-85 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:61:31,,-92 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:5b:8e:f1,,-87 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:5c:09:71,,-78 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:ec:91,,-81 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:a8:51,,-85 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:65:d3:71,,-79 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:9a:71,,-88 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:a9:91,,-89 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:ce:b1,,-81 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:5b:ee:d1,,-87 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:9f:11,,-92 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations, 1 Stations;en0,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:fc:11,,-91 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:5b:e5:51,,-82 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:a9:81,,-77 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:60:b1,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:ff:d1,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:5b:db:e1,,-75 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:62:01:d1,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:62:01:d1,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:f4:b1,,-88 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:f4:b1,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:5b:db:f1,,-89 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:b2:a1,,-78 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:b2:a1,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:5b:e5:41,,-78 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,1c:28:af:5b:e5:41,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations;en0,,,,,,,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:4f:c1,,-76 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
